id,issn,idl,Abstract,Title,Autherkeywords,Indexkeywords,Author,AuthorsID,Volume,Issue,Year,Pagestart,Pageend,Pagecount,Source,ENTRYTYPE,doi,url,citation_count,Affiliations,Authors_affiliations,Address,Publisher,Language,AbbreviatedSource,Document_Type,Publication_Stage,Access_Type,EID,author_publ_age,author_age,doc_id,author_order
57,,,,A Systematic Review and Meta-analysis of the Initial Literature Regarding COVID-19 Symptoms in Children in the United States,,,Schultz C.M.; Burke L.A.; Kent D.A.,56645821700; 55968182700; 57204628830,,,2023,,,,Journal of Pediatric Health Care,,10.1016/j.pedhc.2023.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150825082&doi=10.1016%2fj.pedhc.2023.02.006&partnerID=40&md5=4c6a273eea11c77dbaf1a703d6bff024,2,437,,,,,,Article,Scopus,2,,,,,
58,,,,Synergy between nanomaterials and volatile organic compounds for non-invasive medical evaluation,,,Broza Y.Y.; Vishinkin R.; Barash O.; Nakhleh M.K.; Haick H.,35486813200; 56993681900; 35319685700; 55129416100; 6603256731,,,2018,,,,Chemical Society Reviews,,10.1039/c8cs00317c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049394547&doi=10.1039%2fc8cs00317c&partnerID=40&md5=6dfb44af0877355a239145188f30198c,197,4859,,,,,,Review,Scopus,197,,,,,
59,,,,DNA barcoding mosquitoes: Advice for potential prospectors,,,Beebe N.W.,6603670543,,,2018,,,,Parasitology,,10.1017/S0031182018000343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044259732&doi=10.1017%2fS0031182018000343&partnerID=40&md5=fb2fc77cf2831b6385e1f7a48f292014,68,633,,,,,,Review,Scopus,68,,,,,
60,,,,Principles of odor coding in vertebrates and artificial chemosensory systems,,,Manzini I.; Schild D.; Di Natale C.,55907368000; 58504749800; 7006897300,,,2022,,,,Physiological Reviews,,10.1152/PHYSREV.00036.2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121061648&doi=10.1152%2fPHYSREV.00036.2020&partnerID=40&md5=1da2c2ad9e0d2c44c73894f0c5977bed,28,154,,,,,,Article,Scopus,28,,,,,
61,,,,Infectious disease-associated encephalopathies,,,Barbosa-Silva M.C.; Lima M.N.; Battaglini D.; Robba C.; Pelosi P.; Rocco P.R.M.; Maron-Gutierrez T.,57203822619; 57215895302; 58308127100; 56270441000; 7006547963; 7005972192; 35740955100,,,2021,,,,Critical Care,,10.1186/s13054-021-03659-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109311044&doi=10.1186%2fs13054-021-03659-6&partnerID=40&md5=434013b943566f1779b9d5c6d815a389,31,,,,,,,Review,Scopus,31,,,,,
62,,,,"A systematic literature survey of software metrics, code smells and refactoring techniques",,,Agnihotri M.; Chug A.,57218920285; 56168650500,,,2020,,,,Journal of Information Processing Systems,,10.3745/JIPS.04.0184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090798778&doi=10.3745%2fJIPS.04.0184&partnerID=40&md5=2d431d76882c27ba3632da126f4ee767,26,934,,,,,,Article,Scopus,26,,,,,
63,,,,To what extent is alcohol consumption associated with breast cancer recurrence and second primary breast cancer?: A systematic review,,,Simapivapan P.; Boltong A.; Hodge A.,57191346613; 8246772000; 7006887018,,,2016,,,,Cancer Treatment Reviews,,10.1016/j.ctrv.2016.09.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988944453&doi=10.1016%2fj.ctrv.2016.09.010&partnerID=40&md5=f90cbd444353aacf322d91bef05a114c,30,167,,,,,,Review,Scopus,30,,,,,
64,,,,Predictive Analytics and Software Defect Severity: A Systematic Review and Future Directions,,,Olaleye T.O.; Arogundade O.T.; Misra S.; Abayomi-Alli A.; Kose U.,57216846632; 36805695100; 7401768596; 57218001210; 36544118500,,,2023,,,,Scientific Programming,,10.1155/2023/6221388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148108224&doi=10.1155%2f2023%2f6221388&partnerID=40&md5=88c2e0d44c12690f89ccf21e118dc0b8,3,,,,,,,Review,Scopus,3,,,,,
66,,,,A survey on industrial information integration 20162019,,,Chen Y.,56323976700,,,2020,,,,Journal of Industrial Integration and Management,,10.1142/S2424862219500167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081138769&doi=10.1142%2fS2424862219500167&partnerID=40&md5=032b2502e26c2212fea7804b65a2ee6e,102,163,,,,,,Article,Scopus,102,,,,,
67,,,,A hybrid approach to identify code smell using machine learning algorithms,,,Patnaik A.; Padhy N.,57218609678; 56417506600,,,2021,,,,International Journal of Open Source Software and Processes,,10.4018/IJOSSP.2021040102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107610423&doi=10.4018%2fIJOSSP.2021040102&partnerID=40&md5=d3b2aee8b1d9a32da9a4e4a915885abe,5,35,,,,,,Article,Scopus,5,,,,,
68,,,,European position paper on diagnostic tools in rhinology,,,Rimmer J.; Hellings P.; Lund V.J.; Alobid I.; Beale T.; Dassi C.; Douglas R.; Hopkins C.; Klimek L.; Landis B.; Mosges R.; Ottaviano G.; Psaltis A.; Surda P.; Tomazic P.V.; Vent J.; Fokkens W.,8510694400; 7004215789; 57214935023; 6603835520; 15134919600; 57128400900; 7202537418; 55543341300; 7005088080; 7006562737; 55617900200; 8255469500; 16686625100; 57140762000; 35243739400; 24400411300; 35355799700,,,2019,,,,Rhinology,,10.4193/rhin19.410,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071177074&doi=10.4193%2frhin19.410&partnerID=40&md5=88a58ba7666ac0a94042f93542747835,86,41,,,,,,Article,Scopus,86,,,,,
69,,,,Intelligent acupuncture: data-driven revolution of traditional Chinese medicine,,,Bao Y.; Ding H.; Zhang Z.; Yang K.; Tran Q.; Sun Q.; Xu T.,57705343500; 58788165500; 58040923800; 58788867100; 58789094400; 58833340200; 57195491329,,,2023,,,,Acupuncture and Herbal Medicine,,10.1097/HM9.0000000000000077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181104992&doi=10.1097%2fHM9.0000000000000077&partnerID=40&md5=ddd43859871bfcb93042e59d18316fd5,1,284,,,,,,Review,Scopus,1,,,,,
72,,,,Estimating the complexity of architectural design decision networks,,,Sanchez C.C.; Capilla R.; Staron M.,25647325000; 8931696900; 6505767603,,,2020,,,,IEEE Access,,10.1109/ACCESS.2020.3023608,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099585726&doi=10.1109%2fACCESS.2020.3023608&partnerID=40&md5=ec2b9fda07b6a01addf50267a118e131,3,168575,,,,,,Article,Scopus,3,,,,,
73,,,,"Recommendations for verifying the efficacy and course documentation of mepolizumab in chronic rhinosinusitis with nasal polyps (CRSwNP) in the German healthcare system - Recommendations of the Medical Association of German Allergologists (AeDA) and the Working Groups on Clinical Immunology, Allergology and Environmental Medicine and Rhinology and Rhinoplasty of the German Society of Oto-Rhino-Laryngology, Head and Neck Surgery (DGHNOKHC); [Empfehlungen zur überprüfung der Wirksamkeit und Verlaufsdokumentation von Mepolizumab bei chronischer Rhinosinusitis mit Nasenpolypen (CRSwNP) im deutschen Gesundheitssystem - Empfehlungen des äarzteverbandes Deutscher Allergologen (AeDA) und der AGs Klinische Immunologie, Allergologie und Umweltmedizin und Rhinologie und Rhinochirurgie der Deutschen Gesellschaft für HNO-Heilkunde, Kopf- und Halschirurgie (DGHNOKHC)]",,,Klimek L.; Förster-Ruhrmann U.; Olze H.; Beule A.G.; Chaker A.M.; Hagemann J.; Huppertz T.; Hoffmann T.K.; Dazert S.; Deitmer T.; Strieth S.; Wrede H.; Schlenter W.; Welkoborsky H.J.; Wollenberg B.; Becker S.; Bärhold F.; Klimek F.; Casper I.; Zuberbier J.; Rudack C.; Cuevas M.; Hintschich C.A.; Guntinas-Lichius O.; Stöver T.; Bergmann C.; Werminghaus P.; Pfaar O.; Gosepath J.; Gröger M.; Beutner C.; Laudien M.; Weber R.K.; Hildenbrand T.; Hoffmann A.S.; Bachert C.,7005088080; 56029735200; 12799080200; 6508279475; 16047229700; 57194195735; 57150722300; 55674014700; 7004615355; 7005979965; 6602740984; 8967026100; 7003606276; 7003333993; 7006101420; 56024696100; 58095072100; 57371131000; 57208256064; 57216527117; 56006797500; 57162703600; 56728137200; 7005105872; 7005225491; 16743647000; 22986652500; 9744229500; 7005682771; 8714834600; 55990790700; 16835102500; 55890200000; 6701678147; 57843488700; 7102663930,,,2023,,,,Laryngo- Rhino- Otologie,,10.1055/a-2003-4730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147646150&doi=10.1055%2fa-2003-4730&partnerID=40&md5=0690ab2970bd15fd29070c76dcf882e8,1,99,,,,,,Article,Scopus,1,,,,,
74,,,,Central nervous system outcomes of COVID-19,,,Doyle M.F.,10240361400,,,2022,,,,Translational Research,,10.1016/j.trsl.2021.09.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117855346&doi=10.1016%2fj.trsl.2021.09.002&partnerID=40&md5=274ebf68c1b01741aeadaa121aa3127b,14,51,,,,,,Review,Scopus,14,,,,,
